Data,Peso,Calorias,Proteina,Sono,Tempo_Treino,Tipo_Treino
2025-07-01,115.6,1601,168,6.5,30,Nenhum
2025-07-02,115.8,1643,173,7.6,0,Cardio
2025-07-03,116.1,1591,166,6.3,0,Nenhum
2025-07-04,116.2,1642,167,6.9,0,Cardio
2025-07-05,116.5,1670,167,8.7,20,Nenhum
2025-07-06,116.5,1520,169,6.8,20,Cardio
2025-07-07,116.7,1493,172,7.1,0,Funcional
2025-07-08,117.0,1542,164,7.7,20,Funcional
2025-07-09,116.9,1604,169,7.8,60,Nenhum
2025-07-10,117.4,1617,166,7.0,0,Cardio
2025-07-11,117.5,1610,171,9.3,0,Musculação
2025-07-12,117.9,1647,168,6.4,0,Musculação
2025-07-13,117.6,1553,166,7.9,0,Nenhum
2025-07-14,118.1,1596,173,6.8,30,Cardio
2025-07-15,118.2,1630,168,5.9,20,Musculação
2025-07-16,118.5,1434,175,8.2,60,Musculação
2025-07-17,118.6,1620,172,6.9,20,Nenhum
2025-07-18,118.7,1595,164,7.1,0,Cardio
2025-07-19,118.8,1626,174,5.3,60,Musculação
2025-07-20,119.0,1624,176,8.6,20,Funcional
2025-07-21,119.3,1553,178,5.6,30,Cardio
2025-07-22,119.6,1507,158,6.6,40,Nenhum
2025-07-23,119.7,1669,170,6.2,60,Musculação
2025-07-24,120.0,1617,159,6.8,40,Funcional
2025-07-25,120.1,1504,167,6.9,0,Nenhum
2025-07-25,118.0,2000,50,7.0,30,Cardio
